Resource title,Resource Description,Resource URL,Internal/External,Category,Sub Category,Keywords
"Substance use treatment centres for First 
Nations and Inuit ",Find Canadian treatment centres available for First Nations and Inuit individuals and families affected by substance abuse. ,https://www.sac-isc.gc.ca/eng/1576090254932/1576090371511#a5,External,Health and well-being,"Home and community
support services",
Support to quit smoking,"Find support, treatments and tips to help you stop smoking.  ",https://www.ontario.ca/page/support-quit-smoking,Internal,Health and well-being,"Home and community
support services",
Smoker's Helpline,"Find support to quit smoking and vaping online, by phone and in your community. ",https://csl.cancer.ca/smokershelpline/en,External,Health and well-being,"Home and community
support services",
Sexual Health Ontario,"Get information about sexual health, HIV/AIDS, hepatitis C and/or needle exchange services.   ",https://www.sexualhealthontario.ca/en/home,External,Health and well-being,"Home and community
support services",
Ontario AIDS Network,"Browse through a network of community-based organizations that provide HIV/AIDS education, outreach, prevention and programming.",https://ontarioaidsnetwork.ca/,External,Health and well-being,"Home and community
support services",
"The Canadian AIDS Treatment Information 
Exchange  ","Get unbiased knowledge, resources and expertise to reduce transmission and improve quality of life for people living with HIV or hepatitis C, at-risk communities, health care providers and organizations. ",https://www.catie.ca/,External,Health and well-being,"Home and community
support services",
The Ontario HIV Treatment Network  ,Learn how this organization works to improve the health and lives of people living with and at risk of HIV. ,https://www.ohtn.on.ca/,External,Health and well-being,"Home and community
support services",
Meals on wheels,"Delivers nutritious and affordable meals to a variety of groups, including: seniors, and people with physical disabilities and cognitive impairments.",https://www.mealsonwheels.ca/,External,Health and well-being,"Home and community
support services","home care, home support"
A Friendly Voice  ,"Is a free, confidential phone line for Ontarians 55+ who just want to chat with a friendly person. Call toll-free 1-855-892-9992.",https://afriendlyvoice.ca/,External,Health and well-being,"Home and community
support services",
The Friendly Calls Program  ,"Connect with Red Cross volunteers who provide supportive listening, social interaction and emotional support. ",https://www.redcross.ca/in-your-community/ontario/senior-support-services/friendly-calls-program,External,Health and well-being,"Home and community
support services",
Seniors Active Living Centre program,"Available across the province, these programs consist of social, cultural, learning and recreational activities that encourage community involvement and help seniors stay active, independent and engaged. Use our map to find a program near you. ",https://www.ontario.ca/page/find-seniors-active-living-centre-program-near-you,Internal,Health and well-being,"Home and community
support services","seniors centre, seniors center, senior center, senior centre"
Patient Ombudsman  ,Get help with a complaint involving a health sector organization. The ombudsman will investigate and facilitate a resolution without taking sides and make recommendations to improve future experiences. ,https://patientombudsman.ca/,External,Health and well-being,"Home and community
support services",
Vaccines and immunization,"Learn how and when to get vaccinated, a flu shot or immunized to protect yourself and others against preventable diseases, COVID-19 and serious illness.",https://www.ontario.ca/page/vaccines,Internal,Health and well-being,Vaccinations,
Safe and Found Program,Protect yourself or a loved one who has Alzheimer’s and other dementias by registering them with this identification program. ,https://www.medicalert.ca/safe-and-found,External,Health and well-being,Alzheimer’s disease and dementia ,"Alzheimer, memory care"
Finding Your Way,Learn how to recognize the risk of going missing and how to be prepared for incidents when someone has gone missing. ,https://www.findingyourwayontario.ca/,External,Health and well-being,Alzheimer’s disease and dementia ,"Alzheimer, Alzheimers, memory care"
Exercise and falls prevention programs,"Join free classes to help maintain balance and strength, and prevent falls. ",https://www.ontario.ca/page/exercise-and-falls-prevention-programs,Internal,Health and well-being,Prevent falls and injuries,
Osteoporosis Canada: exercise recommendation,Learn about muscle strengthening and balance training to help reduce falls and fractures for people living with osteoporosis.,https://osteoporosis.ca/exercise-recommendations/ ,External,Health and well-being,Prevent falls and injuries,
"Preventing slips, trips, and falls in the workplace","Learn about the steps you can take to minimize risk and prevent slips, trips and falls in your workplace.",https://www.ontario.ca/page/preventing-slips-trips-and-falls-workplace,Internal,Health and well-being,Prevent falls and injuries,
Safe Living Guide — A Guide to Home Safety for Seniors,"Get advice on how to prevent injuries by keeping your home, yourself and your environment as safe as you can. ",https://www.canada.ca/en/public-health/services/health-promotion/aging-seniors/publications/publications-general-public/safe-living-guide-a-guide-home-safety-seniors.html ,External,Health and well-being,Prevent falls and injuries,
You CAN Prevent Falls,Learn how to you can reduce your risk and prevent injury as you get older. ,https://www.canada.ca/en/public-health/services/health-promotion/aging-seniors/publications/publications-general-public/you-prevent-falls.html ,External,Health and well-being,Prevent falls and injuries,
Stair Safety at Home,Get tips on improving the safety of your stairs and how you use them.,https://www.canada.ca/en/public-health/services/health-promotion/aging-seniors/publications/publications-general-public/stair-safety.html ,External,Health and well-being,Prevent falls and injuries,
Find a registered dietitian with Health811,Find a registered dietitian who can provide free advice about food and healthy eating.  ,https://health811.ontario.ca/static/guest/find-a-service,Internal,Health and well-being,Nutrition,
"Canada’s Food Guide: Healthy eating
 for seniors ","Learn why healthy eating is important in staying healthy and strong, so you can maintain your independence and quality of life when you are a senior. ",https://food-guide.canada.ca/en/tips-for-healthy-eating/seniors/,External,Health and well-being,Nutrition,
Dietitians of Canada,Find resources and dietitians in your area that can help you make healthier food choices.,https://members.dietitians.ca/DCMember/s/find-dietitian?language=en_US&utm_campaign=Find%20a%20Dietitian&utm_medium=secondary%20navigation&utm_source=DC%20Website,External,Health and well-being,Nutrition,
Housing in Ontario,Learn about programs to help you have a safe and affordable place to call home. ,https://www.ontario.ca/page/housing-in-ontario,Internal,Home and housing,Housing options,"downsizing, find a place to live, moving, move"
Life lease housing,Read the guide to learn about life leases and to help decide if it is right for you or your loved ones. ,https://www.ontario.ca/document/life-lease-housing,Internal,Home and housing,Housing options,"downsizing, find a place to live, moving, move"
Retirement homes,"Learn about the service these homes provide if you or a loved one can live with little or no outside help. Get help with choosing a home, applying and costs. ",https://www.ontario.ca/page/find-retirement-home,Internal,Home and housing,Housing options,"downsizing, find a place to live, moving, move"
Long-term care homes,"Learn about the care these homes provide when independent living for you or a loved one is difficult. Get help with choosing a home, applying and what to expect when you move in. ",https://www.ontario.ca/page/long-term-care-ontario,Internal,Home and housing,Housing options,"downsizing, find a place to live, moving, move, long term"
Supportive housing,Learn the differences between supportive-housing options available to help you decide the right care for you or your loved one. ,https://www.ontario.ca/page/supportive-housing-options,Internal,Home and housing,Housing options,"downsizing, find a place to live, moving, move"
"Social (or community) 
housing ",Learn about government-assisted housing that provides lower cost rental units to households with low-to-moderate incomes. ,https://www.ontario.ca/page/housing-in-ontario#section-2,Internal,Home and housing,Housing options,"downsizing, find a place to live, moving, move, financial assistance"
Co-operative housing,"Learn about co-ops in your community and how to apply for membership if you want to live in affordable housing 
controlled by voting members. ",https://chfcanada.coop/about-co-op-housing/find-a-co-op/,External,Home and housing,Housing options,"downsizing, find a place to live, moving, move"
"Adult lifestyle 
communities",Contact your local real estate agent to learn about living in a retire or semi-retire community and the on-site recreational and activities they offer.,https://www.reco.on.ca/RegistrantSearch,External,Home and housing,Housing options,"downsizing, find a place to live, moving, move"
"Homelessness Prevention
Program","Learn about programs and strategies to prevent homelessness, and how to help people experiencing or at risk of homelessness. ",https://www.ontario.ca/page/addressing-homelessness,Internal,Home and housing,Housing options,"downsizing, find a place to live, moving, move"
Find your local service manager,"Contact your local service manager to find out what housing programs, rental assistance and benefits are available in your community. ",https://www.ontario.ca/page/find-your-local-service-manager,Internal,Home and housing,Housing options,"downsizing, find a place to live, moving, move,financial assistance"
"Home and community care
support services",Contact a local care provider to help you coordinate and get the right care and health supports you need at home. ,https://www.healthcareathome.ca/home-care/,External,Home and housing,Home supports,"home care, care at home, personal support worker, PSW"
"Canada Mortgage and 
Housing Corporation:
guide to home adaptations",Learn about the types of difficulties seniors can experience in the home and how to overcome these difficulties. ,https://www.cmhc-schl.gc.ca/en/professionals/industry-innovation-and-leadership/industry-expertise/senior-housing/maintaining-seniors-independence-through-home-adaptations-a,External,Home and housing,Home supports,
Canada-Ontario Housing Benefit,Contact your local service manager to find out if you are eligible to get monthly benefit payments to help you pay your rent. ,https://www.ontario.ca/page/find-your-local-service-manager,Internal,Home and housing,Home supports,
"Rent supplements and housing
allowances",Contact your local service manager to find out if you qualify for rental assistance to help you pay your rent.  ,https://www.ontario.ca/page/find-your-local-service-manager,Internal,Home and housing,Home supports,
"Ontario Association of Residents'
Councils",Find a network of Residents’ Councils across long-term care homes. Councils are a group of residents who speak on behalf of all residents to support their interests. ,https://www.ontarc.com/,External,Home and housing,Home supports,long term
Family Councils Ontario,"Learn how this organization works with families, family councils and long-term care home staff to improve the long-term care experience.  ",https://fco.ngo/,External,Home and housing,Home supports,
"Residential Rehabilitation
Assistance Program  ",Get funding for major repairs that are needed to bring on-reserve housing up to minimum health and safety standards. ,https://www.cmhc-schl.gc.ca/en/professionals/project-funding-and-mortgage-financing/funding-programs/all-funding-programs/residential-rehabilitation-assistance-program,External,Home and housing,Home supports,"renovations, renovate, financial assistance"
Assisted Living Program,Get non-medical support and social support services if you live on-reserve with a chronic illness or disability. ,https://www.sac-isc.gc.ca/eng/1100100035250/1533317440443,External,Home and housing,Home supports,"home care, care at home, aid, financial assistance"
Ontario Renovates,"Contact your local service manager to find out what forgivable loans are available. These loans help you make necessary
repairs to improve accessibility in your home.  ",https://www.ontario.ca/page/find-your-local-service-manager,Internal,Home and housing,Financial assistance and relief,renovations
"Exemption for seniors and people
with disabilities","If you own a property that houses people with disabilities or seniors 65 years or older, you may be eligible for a tax 
exemption for a portion of your property.  ",https://www.mpac.ca/en/MakingChangesUpdates/ExemptionSeniorsandPersonsDisability,External,Home and housing,Financial assistance and relief,
Property tax relief,Contact your local municipality to learn if you qualify (low-income seniors or person with disabilities) to receive relief from property tax increases that result from assessment reform. ,https://www.ontario.ca/page/list-ontario-municipalities,Internal,Home and housing,Financial assistance and relief,
"Provincial Land Tax Deferral 
Program for Low-Income Seniors and Low-Income Persons with Disabilities ",Learn how to get a partial deferral of provincial land tax and education tax. ,https://www.ontario.ca/document/provincial-land-tax/provincial-land-tax-deferral-program-low-income-seniors-and-low-income,Internal,Home and housing,Financial assistance and relief,
Rent increase deadlines,"Learn about the rules for rent, including rent increase guidelines and resolving issues about rent control. ",https://www.ontario.ca/page/residential-rent-increases,Internal,Home and housing,Landlord and tenant relations,
"Tribunals Ontario: Landlord
and Tenant Board  ",Learn about the board that resolves disputes between landlords and tenants and educates people about their rights and responsibilities.  ,https://tribunalsontario.ca/ltb/,External,Home and housing,Landlord and tenant relations,
"Residential Tenancies Act, 2006 ",Read about the act that provides protection for tenants from unlawful rent increases and unlawful evictions. It also sets out the rights and responsibilities of landlords and tenants.  ,https://www.ontario.ca/laws/statute/06r17,Internal,Home and housing,Landlord and tenant relations,
Seniors Active Living Centre program,"Available across the province, these programs consist of social, cultural, learning and recreational activities that encourage community involvement and help seniors stay active, independent and engaged. Use our map to find a program near you. ",https://www.ontario.ca/page/find-seniors-active-living-centre-program-near-you,Internal,Recreation,Community activities,"seniors centre, seniors center, senior center, senior centre"
YMCA,Find social activities and programs in your community through your local YMCA.,https://ymca.ca/Locations ,External,Recreation,Community activities,
Rotary Clubs,"Find a club that supports humanitarian services, goodwill and community activities.",https://my.rotary.org/en/club-search,External,Recreation,Community activities,
Lions Club,Find a club that promotes community activities and services through volunteering. ,https://www.lionsclubs.org/en/start-our-approach/club-locator ,External,Recreation,Community activities,
Royal Canadian Legion,Find a branch that support veterans and provides community service.,https://www.on.legion.ca/find-branch,External,Recreation,Community activities,
Older Adult Centres’ Association of Ontario,"Use the map locator to find physical, leisure and social programs at a centre near you.",https://www.oacao.org/,External,Recreation,Community activities,"seniors centre, seniors center, senior center, senior centre"
Seniors' Centre Without Walls,"Connect with free, over-the-phone group activities for older adults (aged 50 years or older) or if you have a disability that makes it difficult to leave your home. ",http://www.oacao.org/programs/seniors-centre-without-walls/,External,Recreation,Community activities,"seniors centre, seniors center, senior center, senior centre"
Discovery programs at Ontario Parks,"Learn about staff-led programs, self-led activities and interpretive displays available for you to explore nature.",https://www.ontarioparks.com/discovery,External,Recreation,Community activities,
"FARFO: Federation of 
Francophone Seniors and 
Retirees of Ontario (site in english only)","Get French-language services support for seniors and retirees (aged 50 years or older) related to care, social housing and more. ",https://farfo.ca/,External,Recreation,Community activities,
Ontario Arts Council: Indigenous Artists in Communities and Schools Projects,"Apply to grants for projects that support Indigenous artists and Elders to create meaningful arts experiences, teach workshops in schools, and transmit artistic skills and knowledge.",https://www.arts.on.ca/grants/indigenous-artists-in-communities-and-schools-proj,External,Recreation,Community activities,
"Canada Council for the Arts: Creating, knowing and sharing program ","Apply to grants for Indigenous individuals, groups, Indigenous-led arts organizations and arts/cultural sector development organizations.",https://canadacouncil.ca/funding/grants/creating-knowing-sharing,External,Recreation,Community activities,
Egale,Find research and webinars about 2SLGBTQIA+ topics and learn about the advocacy work this organization is doing in Canada.,https://egale.ca/,External,Recreation,Community activities,
The 519,Find programs and services for older 2SLGBTQIA+ adults at this centre in Toronto.,https://www.the519.org/programs/category/older-2slgbtq/,External,Recreation,Community activities,
Senior Pride Network Toronto,Become a member for free and get connected to programs and services in Toronto for 2SLGBTQIA+ individuals who are 50 years or older. ,https://www.seniorpridenetwork.ca/,External,Recreation,Community activities,
Royal Canadian Legion,"Use the branch locator to find a Legion in your community. The Legion sponsors community programs, and provides support to veterans, their dependents and those still serving in the Canadian Forces.",https://www.legion.ca/who-we-are,External,Recreation,Community activities,
The Memory Project ,Learn how to book or become a speaker. This bureau arranges for veterans and Canadian Forces members to share their stories of military service in schools and community events across Canada. ,https://www.thememoryproject.com/,External,Recreation,Community activities,
Public Libraries,"Find meetings, webinars and informal chats on various topics, that might interest you at a local library.",https://www.olservice.ca/,External,Recreation,Community activities,
211 Ontario,"Search for cultural, recreational and social activities programs near you.",https://211ontario.ca/search/,External,Recreation,Community activities,
Physical activity tips for older adults (65 years and older),Get tips that will help you improve and maintain your health by being physically active every day.,http://www.phac-aspc.gc.ca/hp-ps/hl-mvs/pa-ap/08paap-eng.php,External,Recreation,Active living,
Canadian 24-hour Movement Guidelines,"If you are 65 years or older, follow these guidelines that can help you stay strong, mentally fit and independent. ",https://www.participaction.com/en-ca/thought-leadership/benefits-and-guidelines/65,External,Recreation,Active living,memory care
Physical Activity Toolkit: For Older Adults ,The toolkit provide useful guidelines and resources on the role physical activity plays in prevention and management of chronic disease.,https://prismic-io.s3.amazonaws.com/participaction%2F84f1e964-a43c-419e-994b-57a63c3bf822_pa-seniors-toolkit-design-v03-eng-pa.pdf,External,Recreation,Active living,"arthritis, heart disease, diabetes"
Aging: Move more today for a healthier tomorrow,"Learn what you can do to stay strong, mentally fit and independent so you can thrive as you get older.",https://www.participaction.com/en-ca/everything-better/age-better,External,Recreation,Active living,memory care
McMaster Optimal Aging Portal,"The portal can help you source trusted healthy aging information for older adults, caregivers and health professionals.",https://www.mcmasteroptimalaging.org/,External,Recreation,Active living,"memory care, dementia"
Canada's food guide: Healthy eating for Seniors,"Learn why healthy eating is important in staying healthy and strong, so you can maintain your independence and quality of life when you are a senior. ",https://food-guide.canada.ca/en/tips-for-healthy-eating/seniors/,External,Recreation,Active living,memory care
Exercise and Falls Prevention Programs,"Join free classes to help maintain balance and strength, and prevent falls.",https://www.ontario.ca/page/exercise-and-falls-prevention-programs,Internal,Recreation,Active living,
Brain-healthy tips to reduce your risk of dementia,"Get evidence-based tips and strategies to help you lead a healthy, balanced lifestyle that reduces your risk of dementia.",https://alzheimer.ca/en/about-dementia/how-can-i-reduce-risk-dementia/brain-healthy-tips-reduce-your-risk-dementia,External,Recreation,Active living,memory care
All about sleep ,Find everything you need to better understand sleep and its importance for your health. ,https://sleeponitcanada.ca/all-about-sleep/,External,Recreation,Active living,memory care
Take a Social Adventure: It’s Good for You ,Learn about ways to stay socially connected through social adventures.,https://www.silvertimes.ca/home/mental-health,External,Recreation,Active living,
A Friendly Voice ,"Chat with a friendly person who cares, without expectations or judgment. It’s a free, confidential “warm line” for older Ontarians, 55+.",https://afriendlyvoice.ca/,External,Recreation,Active living,
211 Ontario,Search for exercise classes and programs near you.,http://211ontario.ca/,External,Recreation,Active living,
"Ontario Seniors Games
Association","If your 55 years and older, find a sport or activity to join for friendly local competitions, with the opportunity to progress to provincial and national competitions.",https://osga55plus.ca/,External,Recreation,Active living,
Activities at Ontario Parks,"Use the park locator to find local activities, such as biking, bird watching, hiking and more. ",https://www.ontarioparks.com/park-locator,External,Recreation,Active living,
Fishing,"Find out what you need to know before you go fishing. If you are over 65 years of age or have a disability, you are not required to obtain an Outdoors Card or licence to fish.",https://www.ontario.ca/page/fishing,Internal,Recreation,Active living,fishing license
Hunting,"What you need to know before hunting in Ontario. Including how to get a hunting licence or Outdoors Card, trapping, falconry and camping on Crown land.",https://www.ontario.ca/page/hunting,Internal,Recreation,Active living,
Destination Ontario,"Find travel resources, trending places and things to do across Ontario.",http://www.destinationontario.com/en-ca,External,Recreation,Travelling home and abroad,
Older travellers,Find useful information and advice to help you prepare for your trip outside Canada. ,https://travel.gc.ca/travelling/health-safety/older-travellers,External,Recreation,Travelling home and abroad,
OHIP coverage while outside Canada,Find out what OHIP covers when you are temporarily outside Canada.,https://www.ontario.ca/page/ohip-coverage-while-outside-canada,Internal,Recreation,Travelling home and abroad,Ontario Health Insurance Plan
Out of country medical expenses,"Complete, sign and submit the Out of Province/Country Claims form along with all the required information for out of country medical receipts.",https://forms.mgcs.gov.on.ca/dataset/014-0951-84  ,Internal,Recreation,Travelling home and abroad,
Refund for covered prescription drugs ,"If you paid for a covered drug, you could be eligible for a refund.",https://www.ontario.ca/page/get-coverage-prescription-drugs#section-7  ,Internal,Recreation,Travelling home and abroad,
Living or travelling abroad when you retire,"Learn how your taxes, benefits and medical care can be affected depending on the length of time you stay outside of Canada.",https://www.canada.ca/en/financial-consumer-agency/services/retirement-planning/travel-abroad-retire.html,External,Recreation,Travelling home and abroad,
Volunteering in Ontario,Find information on how to get involved and tips to get volunteer participation.,https://www.ontario.ca/page/volunteering-ontario,Internal,Recreation,Volunteering,
The Life Institute,"Find a range of volunteer opportunities, including teaching or becoming a class host, helping out with administrative work, event planning or working on a committee.",https://thelifeinstitute.ca/page/volunteer,External,Recreation,Volunteering,
Ontario Trillium Foundation,Volunteer by using your local knowledge and expertise to assess grant applications and recommend suitable projects for funding.,https://www.otf.ca/who-we-are/volunteering,External,Recreation,Volunteering,
Canadian Red Cross,"Volunteer to help during emergencies and disasters, sit on committees, or provide customer service and office support.",https://www.redcross.ca/volunteer,External,Recreation,Volunteering,
United Way,Use your local knowledge and expertise to help improve your community by volunteering at your local office.,https://www.unitedway.ca/how-we-help/find-your-uwc/,External,Recreation,Volunteering,
Volunteer Canada,Use the map directory to find a volunteer centre that will help you connect to volunteer opportunities.,https://volunteer.ca/Listings.php?ListType=VC_List_Public&MenuItemID=385&province=9&OrganizationName=&Action=Search,External,Recreation,Volunteering,
Volunteer Corps Ontario,Register to volunteer as part of Volunteer Corps Ontario to assist your community during an emergency.,https://www.ontario.ca/page/ontario-corps-volunteer-registration,Internal,Recreation,Volunteering,
His Majesty the King,"Request a birthday greeting for a Canadian who is 100 years of age or older, and couples celebrating an anniversary of 60 years or more.",https://www.gg.ca/en/contact-us/birthday-anniversary-greetings,External,Recreation,Recognize a senior ,
Governor General,"Request a birthday greeting for a Canadians who is 90 years of age or older, and couples celebrating an anniversary of 50 years or more.",https://www.gg.ca/en/contact-us/birthday-anniversary-greetings,External,Recreation,Recognize a senior ,
Lieutenant Governor of Ontario,"Request a birthday greeting for Ontarians 90 years or older, and couples celebrating anniversaries of 50 years or more.",https://greetings.lgontario.ca/GreetingRequest.aspx,External,Recreation,Recognize a senior ,
Prime Minister of Canada,"Request a congratulatory certificate (at five-year intervals) for someone celebrating a birthday of 65 years or older, and couples celebrating an anniversary of 25 years or more. ",https://www.pm.gc.ca/en/connect/greetings,External,Recreation,Recognize a senior ,
Premier of Ontario,"Order a congratulatory certificate for an Ontarian celebrating their birthday of 80 years or older, and couples celebrating an anniversary of 40 years or more.",https://correspondence.premier.gov.on.ca/en/certificates/default.aspx,Internal,Recreation,Recognize a senior ,
"Members of Provincial 
Parliament and Members of Provincial Parliament",Contact your local members directly to find out the types of greetings they provide.,https://www.ourcommons.ca/members/en/search,External,Recreation,Recognize a senior ,
Senior Achievement Award ,Learn how to nominate a senior. This award recognizes individuals for significant contributions to their communities after the age of 65. Up to 20 individuals are recognized each year.,https://www.ontario.ca/page/honours-and-awards-community#section-2,Internal,Recreation,Recognize a senior ,
Senior of the Year Award,"Learn how to nominate a senior. This award given by a municipality to recognize an outstanding senior who, after age 65, enriches the social, cultural or civic life of the community.
",https://www.ontario.ca/page/honours-and-awards-community#section-3,Internal,Recreation,Recognize a senior ,
Seniors Month,Read about this special time to recognize the many contributions seniors have made in communities across the province. Celebrated each year in June.,https://www.ontario.ca/page/celebrating-seniors-ontario,Internal,Recreation,Recognize a senior ,
United Nations International Day of Older Persons,Read about this special day to honour seniors who have helped build our country and continue to make valuable contributions to society. Celebrated each year on October 1.,https://www.un.org/en/observances/older-persons-day,External,Recreation,Recognize a senior ,
Make a power of attorney,Learn about appointing someone you trust to make important financial and health care decisions on your behalf. ,https://www.ontario.ca/page/make-power-attorney,Internal,Safety and security,Legal needs and services,wills
Law Society of Ontario,Connect to a lawyer or licensed paralegal to help you determine your rights and options. ,https://lso.ca/public-resources/finding-a-lawyer-or-paralegal/law-society-referral-service?lang=en-ca,External,Safety and security,Legal needs and services,power of attorney
Legal Aid Ontario,"If you qualify financially and have a legal issue, get help paying for a lawyer to represent you. ",https://www.legalaid.on.ca/,External,Safety and security,Legal needs and services,
ACE: Advocacy Centre for the Elderly  ,"If you’re 60 years and older, get help with legal services in the Greater Toronto Area, and outside of Toronto if the case is of significance to the seniors' community. ",https://www.acelaw.ca/,External,Safety and security,Legal needs and services,
"CLEO: Community Legal Education 
Ontario  ","Find information to understand and exercise your legal rights, including family law, housing law, employment law, immigration law and more. ",https://www.cleo.on.ca/en,External,Safety and security,Legal needs and services,
ARCH Disability Law Centre ,Get legal advice about disability rights law. ,https://archdisabilitylaw.ca/services/,External,Safety and security,Legal needs and services,
HALCO: HIV & AIDS Legal Clinic Ontario ,"Find a variety of services through this non-profit organization, including free legal assistance if you are living with or affected by HIV/AIDS.  ",https://www.halco.org/,External,Safety and security,Legal needs and services,
The Human Rights Code,"Learn how the Code was established to prohibit discrimination based on age in the areas of  employment, services, goods, facilities, housing accommodations and more. ",https://www.ohrc.on.ca/en/ontario-human-rights-code,External,Safety and security,Legal needs and services,
Office of the Public Guardian and Trustee,"Learn how the Office of the Public Guardian and Trustee safeguards the legal, personal and financial interests of specific Ontarians and their estates. ",https://www.ontario.ca/page/office-public-guardian-and-trustee,Internal,Safety and security,Legal needs and services,power of attorney
Planning for possible loss of independence,Make choices while you are competent about how you wish to be cared for in the future (if you become incapable).  ,https://www.canada.ca/en/employment-social-development/corporate/seniors/forum/independence-loss-planning.html,External,Safety and security,Advance care planning,
Advance Care Planning Ontario,Find helpful tools and learn about the process of advance care planning.,https://www.advancecareplanningontario.ca/ ,External,Safety and security,Advance care planning,
Advance care planning seminars,Contact your local Alzheimer's Society chapter to see if they offer advance care planning seminars in your community.,https://alzheimer.ca/en/help-support/find-your-areas-alzheimer-society ,External,Safety and security,Advance care planning,
Substitute decision-maker wallet card,Print and fill out your decision-maker card with important information in the event of an emergency where you might be incapable of making your own health care decisions.,https://files.ontario.ca/advancedcare.walletcard.pdf ,Internal,Safety and security,Advance care planning,
Organ and tissue donation,Register your consent for organ and tissue donation to help those waiting for a lifesaving organ transplant. ,https://beadonor.ca/,External,Safety and security,Advance care planning,
Consumer Protection Ontario,"Before, during or after you make a purchase, learn your rights and find the information you need to know to protect yourself.",https://www.ontario.ca/page/consumer-protection-ontario,Internal,Safety and security,"Scams, fraud and consumer issues ",
Canadian Anti-Fraud Centre,Find information on the impact of past and current scams affecting Canadians and report on fraud and cybercrimes. ,https://antifraudcentre-centreantifraude.ca/,External,Safety and security,"Scams, fraud and consumer issues ",
Ontario Securities Commission,Protect yourself from fraud. Search for an individual or company to find out if they are registered before you invest. ,https://www.osc.ca/en/investors/check-before-you-invest,External,Safety and security,"Scams, fraud and consumer issues ",
GetSmarterAboutMoney.ca  ,Get unbiased and independent financial tools to help you make better financial decisions. ,https://www.getsmarteraboutmoney.ca/,External,Safety and security,"scams, fraud and consumer issues ",
Seniors Safety Line,Talk to a counsellor for free and confidential emotional support if you are a senior experiencing abuse or neglect. Available in more than 200 languages. Toll-free: 1-866-299-1011. ,https://www.awhl.org/seniors,External,,Elder abuse,
Information about elder abuse,Learn more about the signs and types of elder abuse and what to do if you or someone you know is being abused. ,https://www.ontario.ca/page/information-about-elder-abuse,Internal,Safety and security,Elder abuse,
Elder Abuse Prevention Ontario,Get support if you’ve been affected by abuse. Find information and webinars about elder abuse.,https://eapon.ca/,External,Safety and security,Elder abuse,
Ontario Action Against Violence Against Women,"Learn how this Francophone feminist organization works to prevent violence against women, provides ongoing training for workers, develops French-language services and produces education and awareness materials in French. ",https://actionontarienne.ca//english/,External,Safety and security,Elder abuse,
Emergency assistance,"In any emergency, call 9-1-1. Connect to police, fire and ambulance assistance.",https://www.opp.ca/index.php?id=125&lng=en,External,Safety and security,Prepare for emergencies,
Get Prepared,"Learn how about the risks in your area, how create a household emergency plan and build an emergency kit. ",https://www.getprepared.gc.ca/index-en.aspx,External,Safety and security,Prepare for emergencies,
Alert Ready: Emergency Alert System ,Find out if your phone is compatible with receiving critical and potentially life-saving alerts. ,https://www.alertready.ca/,Internal,Safety and security,Prepare for emergencies,
Emergency Management Ontario,"Learn how Ontario prepares for, and responds to, emergencies. Access resources to support emergency management and preparedness. ",https://www.ontario.ca/page/emergency-management,Internal,Safety and security,Prepare for emergencies,
Public Safety Canada,"Learn how the Government of Canada works with other levels of government, first responders, community groups, the private sector and other nations on national security, border strategies, countering crime and emergency management issues and other Safety and security initiatives. ",https://www.publicsafety.gc.ca/index-en.aspx,External,Safety and security,Prepare for emergencies,
BASSIC: Safe Seniors Calendar ,Download the annual Safe Seniors Calendar. It gives you tips and suggestions to help you stay safe and active in your home and community. ,https://www.bassic.ca/,External,Safety and security,Prepare for emergencies,
Fire prevention and protection ,"Learn how to protect your home, loved ones and property from the impacts of fire and find safety services in your community. ",https://www.ontario.ca/page/fire-prevention-and-protection,Internal,Safety and security,Prepare for emergencies,
