Resource title,Resource Description,Resource URL,Internal/External,Category,Sub Category
"Substance use treatment centres for First 
Nations and Inuit ",Find Canadian treatment centres available for First Nations and Inuit individuals and families affected by substance abuse. ,https://www.sac-isc.gc.ca/eng/1576090254932/1576090371511#a5,Internal,Health and well-being,"Home and community
support services"
Support to quit smoking,"Find support, treatments and tips to help you stop smoking.  ",https://www.ontario.ca/page/support-quit-smoking,Internal,Health and well-being,"Home and community
support services"
Smoker's Helpline,"Find support to quit smoking and vaping online, by phone and in your community. ",https://csl.cancer.ca/smokershelpline/en,External,Health and well-being,"Home and community
support services"
Sexual Health Ontario,"Get information about sexual health, HIV/AIDS, hepatitis C and/or needle exchange services.   ",https://www.sexualhealthontario.ca/en/home,External,Health and well-being,"Home and community
support services"
Ontario AIDS Network,"Browse through a network of community-based organizations that provide HIV/AIDS education, outreach, prevention and programming.",https://ontarioaidsnetwork.ca/,External,Health and well-being,"Home and community
support services"
"The Canadian AIDS Treatment Information 
Exchange  ","Get unbiased knowledge, resources and expertise to reduce transmission and improve quality of life for people living with HIV or hepatitis C, at-risk communities, health care providers and organizations. ",https://www.catie.ca/,External,Health and well-being,"Home and community
support services"
The Ontario HIV Treatment Network  ,Learn how this organization works to improve the health and lives of people living with and at risk of HIV. ,https://www.ohtn.on.ca/,External,Health and well-being,"Home and community
support services"
Patient Ombudsman  ,Get help with a complaint involving a health sector organization. The ombudsman will investigate and facilitate a resolution without taking sides and make recommendations to improve future experiences. ,https://patientombudsman.ca/,External,Health and well-being,"Home and community
support services"
Vaccines and immunization,"Learn how and when to get vaccinated, a flu shot or immunized to protect yourself and others against preventable diseases and serious illness. 

  - [Flu shots](https://www.ontario.ca/page/flu-facts)
  - [Vaccines for adults](https://www.ontario.ca/page/vaccines-adults#section-1)
  - [COVID-19 vaccines](https://www.ontario.ca/page/covid-19-vaccines)
  - [Ontario's Routine Immunization Schedule](https://www.health.gov.on.ca/en/public/programs/immunization/static/immunization_tool.html)",https://www.ontario.ca/page/vaccines,Internal,Health and well-being,Vaccinations
Safe and Found Program,Protect yourself or a loved one who has Alzheimer’s and other dementias by registering them with this identification  program. ,https://www.medicalert.ca/safe-and-found,External,Health and well-being,Alzheimer’s disease and dementia 
Finding Your Way,Learn how to recognize the risk of going missing and how to be prepared for incidents when someone has gone missing. ,https://www.findingyourwayontario.ca/,External,Health and well-being,Alzheimer’s disease and dementia 
Exercise and falls prevention programs,"Join free classes to help maintain balance, strength and prevent falls.  

Resources to help reduce your risk: 

  - [Too Fit To Fracture: exercise recommendations](https://osteoporosis.ca/exercise-recommendations/)
  - [Preventing slips, trips, and falls in the workplace](https://www.ontario.ca/page/preventing-slips-trips-and-falls-workplace) 
  - [Safe Living Guide — A Guide to Home Safety for Seniors](https://www.canada.ca/en/public-health/services/health-promotion/aging-seniors/publications/publications-general-public/safe-living-guide-a-guide-home-safety-seniors.html)
  - [You CAN Prevent Falls!](https://www.canada.ca/en/public-health/services/health-promotion/aging-seniors/publications/publications-general-public/you-prevent-falls.html)
  - [Steps to Stair Safety at Home](https://www.canada.ca/en/public-health/services/health-promotion/aging-seniors/publications/publications-general-public/stair-safety.html)",https://www.ontario.ca/page/exercise-and-falls-prevention-programs,Internal,Health and well-being,Prevent falls and injuries
Find a registered dietitian with Health811,Find a registered dietitian who can provide free advice about food and healthy eating.  ,https://health811.ontario.ca/static/guest/find-a-service,External,Health and well-being,Nutrition
"Canada’s Food Guide: Healthy eating
 for seniors ","Learn why healthy eating is important in staying healthy and strong, so you can maintain your independence and quality of life when you are a senior. ",https://food-guide.canada.ca/en/tips-for-healthy-eating/seniors/,External,Health and well-being,Nutrition
Dietitians of Canada,Find resources and dietitians in your area that can help you make healthier food choices.,https://members.dietitians.ca/DCMember/s/find-dietitian?language=en_US&utm_campaign=Find%20a%20Dietitian&utm_medium=secondary%20navigation&utm_source=DC%20Website,External,Health and well-being,Nutrition
Housing in Ontario,Learn about programs to help you have a safe and affordable place to call home. ,https://www.ontario.ca/page/housing-in-ontario,Internal,Home and housing,Housing options
Life lease housing,Read the guide to learn about life leases and to help decide if it is right for you or your loved ones. ,https://www.ontario.ca/document/life-lease-housing,Internal,Home and housing,Housing options
Retirement homes,"Learn about the service these homes provide if you or a loved one can live with little or no outside help. Get help choosing a home, applying and costs. ",https://www.ontario.ca/page/find-retirement-home,Internal,Home and housing,Housing options
Long-term care homes,"Learn about the care these homes provide when independent living for you or a loved one is difficult. Get help choosing a home, applying and what to expect when you move in. ",https://www.ontario.ca/page/long-term-care-ontario,Internal,Home and housing,Housing options
Supportive housing,Learn the differences between supportive-housing options available to help you decide the right care for you or your loved one. ,https://www.ontario.ca/page/supportive-housing-options,Internal,Home and housing,Housing options
"Social (or community) 
housing ",Learn about government-assisted housing that provides lower cost rental units to households with low-to-moderate incomes. ,https://www.ontario.ca/page/housing-in-ontario#section-2,Internal,Home and housing,Housing options
Co-operative housing,"Learn about co-ops in your community and how to apply for membership if you want to live in affordable housing 
controlled by voting members. ",https://chfcanada.coop/about-co-op-housing/find-a-co-op/,External,Home and housing,Housing options
"Adult lifestyle 
communities","Contact your local real estate agent to learn about living in a retire or semi-retire community and the on-site recreational 
and activities they offer.",https://www.reco.on.ca/RegistrantSearch,External,Home and housing,Housing options
"Homelessness Prevention
Program","Learn about programs and strategies to prevent homelessness, and how to help people experiencing or at risk of homelessness. ",https://www.ontario.ca/page/addressing-homelessness,Internal,Home and housing,Housing options
Find your local service manager,"Contact your local service manager to find out what housing programs, rental assistance and benefits are available in your community. ",https://www.ontario.ca/page/find-your-local-service-manager,Internal,Home and housing,Housing options
"Home and community care
support services",Contact a local care provider to help you coordinate and get the right care and health supports you need at home. ,https://www.healthcareathome.ca/home-care/,External,Home and housing,Home supports
"Canada Mortgage and 
Housing Corporation:
guide to home adaptations",Learn about the types of difficulties seniors can experience in the home and how to overcome these difficulties. ,https://www.cmhc-schl.gc.ca/en/professionals/industry-innovation-and-leadership/industry-expertise/senior-housing/maintaining-seniors-independence-through-home-adaptations-a,External,Home and housing,Home supports
Canada-Ontario Housing Benefit,"Contact your local service manager to find out if you are eligible to get monthly benefit payments to help you pay your
rent. ",https://www.ontario.ca/page/find-your-local-service-manager,Internal,Home and housing,Home supports
"Rent supplements and housing
allowances",Contact your local service manager to find out if you qualify for rental assistance to help you pay your rent.  ,https://www.ontario.ca/page/find-your-local-service-manager,Internal,Home and housing,Home supports
"Ontario Association of Residents'
Councils","Find a network of Residents’ Councils across long-term care homes. Councils are a group of residents who speak on behalf 
of all residents to support their interests. ",https://www.ontarc.com/,External,Home and housing,Home supports
Family Councils Ontario,"Learn how this organization works with families, family councils and long-term care home staff to improve the long-term 
care experience.  ",https://fco.ngo/,External,Home and housing,Home supports
"Residential Rehabilitation
Assistance Program  ",Get funding for major repairs that are needed to bring on-reserve housing up to minimum health and safety standards. ,https://www.cmhc-schl.gc.ca/en/professionals/project-funding-and-mortgage-financing/funding-programs/all-funding-programs/residential-rehabilitation-assistance-program,External,Home and housing,Home supports
Assisted Living Program,Get non-medical support and social support services if you live on-reserve with a chronic illness or disability. ,https://www.sac-isc.gc.ca/eng/1100100035250/1533317440443,External,Home and housing,Home supports
Ontario Renovates,"Contact your local service manager to find out what forgivable loans are available. These loans help you make necessary
repairs to improve accessibility in your home.  ",https://www.ontario.ca/page/find-your-local-service-manager,Internal,Home and housing,Financial assistance and relief
"Exemption for seniors and people
with disabilities","If you own a property that houses people with disabilities or seniors 65 years or older, you may be eligible for a tax 
exemption for a portion of your property.  ",https://www.mpac.ca/en/MakingChangesUpdates/ExemptionSeniorsandPersonsDisability,External,Home and housing,Financial assistance and relief
Property tax relief,"Contact your local municipality to learn if you qualify (low-income seniors or person with disabilities) to receive relief from
property tax increases that result from assessment reform. ",https://www.ontario.ca/page/list-ontario-municipalities,Internal,Home and housing,Financial assistance and relief
"Provincial Land Tax Deferral 
Program for Low-Income Seniors and Low-Income Persons with Disabilities ",Learn how to get a partial deferral of provincial land tax and education tax. ,https://www.ontario.ca/document/provincial-land-tax/provincial-land-tax-deferral-program-low-income-seniors-and-low-income,Internal,Home and housing,Financial assistance and relief
Rent increase deadlines,"Learn about the rules for rent, including rent increase guidelines and resolving issues about rent control. ",https://www.ontario.ca/page/residential-rent-increases,Internal,Home and housing,Landlord and tenant relations
"Tribunals Ontario: Landlord
and Tenant Board  ","Learn about the board that resolves disputes between landlords and tenants and educates people about their rights 
and responsibilities.  ",https://tribunalsontario.ca/ltb/,External,Home and housing,Landlord and tenant relations
"Residential Tenancies Act, 2006 ",Read about the act that provides protection for tenants from unlawful rent increases and unlawful evictions. It also sets out the rights and responsibilities of landlords and tenants.  ,https://www.ontario.ca/laws/statute/06r17,Internal,Home and housing,Landlord and tenant relations
"Active Living Centre Programs 
for Seniors","Use our map to find programs that promote wellness, social connectedness and learning in your community.

Clubs and groups

Find social activities and hobbies in your community through organizations such as: 
  - [YMCA](https://www.ymca.ca/locations?type=ymca,camps&amenities)
  - [Club Rotary](https://my.rotary.org/en/club-search)
  - [Lions Club](https://www.lionsclubs.org/en/start-our-approach/club-locator)
  - [Royal Canadian Legion](https://legion.ca/contact-us/find-a-branch)",https://www.ontario.ca/page/find-seniors-active-living-centre-program-near-you,Internal,Recreation,Community activities
"Ontario Association of Seniors' 
Centres","Use its map locator to find physical, recreational and social programs at a centre near you.",https://www.oacao.org/,External,Recreation,Community activities
Seniors' Centre Without Walls,"Find free group activities accessible by phone that are for seniors (at least 50 years old) or with a disability that prevents 
them from leaving their homes easily.",http://www.oacao.org/programs/seniors-centre-without-walls/,External,Recreation,Community activities
"Ontario Parks Discovery 
Programs","Discover staff-led programs, self-directed activities and interpretive panels that will allow you to explore nature.",https://www.ontarioparks.com/discovery,External,Recreation,Community activities
"FARFO: Federation of 
Francophone Seniors and 
Retirees of Ontario","Benefit from services in French for seniors or retirees (at least 50 years old), particularly in terms of care 
and social housing.",https://farfo.ca/,External,Recreation,Community activities
"Ontario Arts Council: Aboriginal 
Community and School 
Artists – Projects","Apply for grants for projects that help Indigenous artists and elders create meaningful artistic experiences, host workshops in schools, and share art knowledge and skills.",https://canadacouncil.ca/funding/grants/creating-knowing-sharing,External,Recreation,Community activities
"Canada Council for the Arts: 
Create, Know and Share 
program","Apply for grants for Indigenous artists and artists' groups, Indigenous-led arts organizations, and Indigenous arts and 
culture development support organizations.",https://conseildesarts.ca/financement/subventions/creer-connaitre-et-partager,External,Recreation,Community activities
Equal,"Find research results and webinars on topics related to the 2SLGBTQIA+ community and learn about the organization's 
advocacy efforts in Canada.",https://egale.ca/,External,Recreation,Community activities
The 519,Find programs and services for 2SLGBTQIA+ seniors at this Toronto centre.,https://www.the519.org/programs/category/older-2slgbtq/,External,Recreation,Community activities
Senior Pride Network Toronto,Become a free member to discover programs and services for 2SLGBTQIA+ seniors aged 50 and over in Toronto.,https://www.seniorpridenetwork.ca/,External,Recreation,Community activities
Royal Canadian Legion,"Use their [locator](https://www.legion.ca/contact-us/find-a-branch) to find a Legion branch in your community. The Legion sponsors community-based programs and provides support to Veterans, their dependents and serving members of the Canadian Forces.",https://www.legion.ca/who-we-are,External,Recreation,Community activities
The Memory Project ,"Find out how to book the visit of speakers or provide a speech yourself. This office organizes veterans and serving members 
of the Canadian Armed Forces to attend schools and community events across the country to share their stories of military 
service.",https://www.thememoryproject.com/,External,Recreation,Community activities
Public Libraries,"Find meetings, webinars, and informal discussions on a variety of topics that may interest you at a library near you.",https://www.olservice.ca/,External,Recreation,Community activities
211 Ontario,"Look for cultural, recreational and social programs near you.",https://211ontario.ca/recherche/,External,Recreation,Community activities
Exercise and Fitness Tips,"Physical activity plays an important role in your health, well-being and quality of life. Get tips and tools to improve and maintain your health: 

  - [Practical tips for seniors (65 years and older)](https://www.canada.ca/en/public-health/services/publications/healthy-living/physical-activity-tips-older-adults-65-years-older.html)
  - [Canadian 24-hour movement guidelines](https://www.participaction.com/the-science/benefits-and-guidelines/adults-65-plus/)
  - [Physical Activity Toolkit: For Older Adults (site en anglais seulement)](https://prismic-io.s3.amazonaws.com/participaction/84f1e964-a43c-419e-994b-57a63c3bf822_pa-seniors-toolkit-design-v03-eng-pa.pdf)
  - [Aging: Move Now, for a Healthy Future](https://www.participaction.com/the-science/explore-benefits/aging/)
  - [McMaster Optimal Aging Portal: Information on Healthy Aging](https://www.mcmasteroptimalaging.org/)
  - [Canada's Food Guide: Healthy Eating for Seniors](https://food-guide.canada.ca/en/tips-for-healthy-eating/seniors/)
  - [Physical Activity Promotion and Falls Prevention Initiative](https://www.ontario.ca/page/exercise-and-falls-prevention-programs)
  - [Brain-friendly tips to reduce your risk of dementia](https://alzheimer.ca/en/about-dementia/how-can-i-reduce-risk-dementia/brain-healthy-tips-reduce-your-risk-dementia)
  - [All about sleep: everything you need to better understand sleep and its importance to your health](https://sleeponitcanada.ca/all-about-sleep/)
  - [A social adventure is good!](https://www.activeagingcanada.ca/blog/)
  - [Separated, but not alone: the importance of social ties in old age](https://kmb.camh.ca/eenet/resources/connection-matters-in-later-life)
  - [A friendly voice](https://afriendlyvoice.ca/) allows seniors to chat with a friendly and well-being person, without waiting or judgment

Find exercise and activity programs near you: 

  - [211Ontario](https://211ontario.ca/search/)
  - Active Living Centre Programs for Seniors",,External,Recreation,Leading an active lifestyle
"Ontario Seniors Games
Association","If you are at least 55 years old, this association will allow you to find a sport or activity in which you can participate in 
local competitions in a friendly atmosphere, with the opportunity to evolve to play provincially and nationally.",https://osga55plus.ca/,External,Recreation,Leading an active lifestyle
Ontario Parks Activities,"Use its park locator to find local activities such as cycling, birdwatching, and hiking.",https://www.ontarioparks.com/park-locator,External,Recreation,Leading an active lifestyle
Fish,"Find out what you need to know before you go fishing. If you are over 65 years of age or have a disability, 
you are not required to obtain an Outdoors Card or a fishing licence.",https://www.ontario.ca/page/fishing,Internal,Recreation,Leading an active lifestyle
Hunt,"Find out what you need to know before going hunting in Ontario. Get information on how to obtain a hunting licence 
or an Outdoors Card, trapping, falconry and camping on Crown land.",https://www.ontario.ca/page/hunting,Internal,Recreation,Leading an active lifestyle
Destination Ontario,Find travel resources as well as popular places and things to do across Ontario.,https://www.destinationontario.com/en-ca,External,Recreation,Travelling in Canada and Abroad
Older travellers,Find useful information and tips to help you prepare for travel outside of Canada.,https://travel.gc.ca/travelling/health-safety/older-travellers,External,Recreation,Travelling in Canada and Abroad
"Services covered by OHIP 
abroad","Find out what services OHIP covers when you leave Canada temporarily. 

  - [Out-of-province or out-of-country treatment claim form](https://forms.mgcs.gov.on.ca/en/dataset/014-0951-84)
  - [How to get reimbursed for supported prescription drugs](https://www.ontario.ca/page/get-coverage-prescription-drugs)",https://www.ontario.ca/page/ohip-coverage-while-outside-canada,Internal,Recreation,Travelling in Canada and Abroad
"Living or travelling abroad after
retirement","Find out how the time you spend outside of Canada can affect your taxes, benefits and health care.",https://www.canada.ca/en/financial-consumer-agency/services/retirement-planning/travel-abroad-retire.html,External,Recreation,Travelling in Canada and Abroad
Volunteering in Ontario,Find information on how to get involved in volunteer activities.,https://www.ontario.ca/page/volunteering-ontario,Internal,Recreation,Volunteering
The Life Institute,"Find a range of volunteer opportunities: for example, you could either teach, be a hostess or class host, 
or help with administrative tasks, event planning, or committee work.",https://thelifeinstitute.ca/page/volunteer,External,Recreation,Volunteering
Ontario Trillium Foundation,"Volunteer using your local expertise and knowledge to evaluate grant applications received by the foundation and
recommend appropriate projects for funding.",https://www.otf.ca/who-we-are/volunteering,External,Recreation,Volunteering
Canadian Red Cross,"As a volunteer, you can help with emergencies and disasters, sit on committees, support customer service 
or help with administrative tasks.",https://www.redcross.ca/volunteer?lang=en-ca&_ga=,External,Recreation,Volunteering
United Way,Use your local expertise and knowledge to help improve your community in a volunteer position at an office near you.,https://www.unitedway.ca/how-we-help/find-your-uwc/,External,Recreation,Volunteering
Volunteer Canada,Consult the organization's directory to find a volunteer centre that can provide you with information on open positions,https://volunteer.ca/Listings.php?ListType=VC_List_Public&MenuItemID=385&province=9&OrganizationName=&Action=Search&lang=en,External,Recreation,Volunteering
Ontario Volunteer Brigade,Sign up as a volunteer with the Ontario Volunteer Brigade to help your community in an emergency.,https://www.ontario.ca/page/volunteer-corps-ontario,External,Recreation,Volunteering
His Majesty the King,Ask for wishes for a Canadian celebrating at least 100 years or a couple celebrating at least their 60th wedding or union anniversary.,https://www.gg.ca/en/contact-us/birthday-anniversary-greetings,External,Recreation,Honouring the elderly
Governer General,Ask for wishes for a Canadian celebrating at least 90 years or a couple celebrating at least their 50th wedding or union anniversary.,https://www.gg.ca/en/contact-us/birthday-anniversary-greetings,External,Recreation,Honouring the elderly
Lieutenant Governer of Ontario,Ask for wishes for an Ontarian who is celebrating at least 90 years or a couple who is celebrating at least their 50th wedding or union anniversary.,https://greetings.lgontario.ca/GreetingRequest.aspx,External,Recreation,Honouring the elderly
Prime Minister of Canada,Ask for a congratulatory certificate (which can be issued every 5 years) for someone who is at least 65 years old or a couple who is celebrating at least their 25th wedding or union anniversary.,https://www.pm.gc.ca/en/connect/greetings,External,Recreation,Honouring the elderly
Premier of Ontario,Ask for a congratulatory certificate for an Ontarian who is celebrating at least their 80th birthday or a couple who is celebrating at least their 40th wedding or union anniversary.,https://www.certificates.premier.gov.on.ca/home,Internal,Recreation,Honouring the elderly
"Members of Provincial 
Parliament","Contact your local MPs directly to find out what types of wishes they are addressing.

Honouring the Elderly",https://www.ola.org/en/members/current,External,Recreation,Honouring the elderly
Award of Excellence for Seniors,"Find out how to name a senior. This award recognizes individuals who, after the age of 65, make an outstanding contribution to their community. Up to 20 people are honoured each year.",https://www.ontario.ca/page/honours-and-awards-community#section-2,Internal,Recreation,Honouring the elderly
Senior of the Year Award,"Find out how to name a senior. This award is presented by a municipality to honour an exceptional senior who, 
after the age of 65, enriches the social, cultural or civic life of his or her community.

",https://www.ontario.ca/page/honours-and-awards-community#section-3,Internal,Recreation,Honouring the elderly
Seniors' Month,"Learn about this special time as we honour the many contributions seniors have made to their communities across 
the province. Seniors' Month is celebrated every June.",https://www.ontario.ca/page/celebrating-seniors-ontario,Internal,Recreation,Honouring the elderly
"United Nations International 
Day of Older Persons","Learn more about this special day to honour the seniors who helped build our country and continue to make a valuable 
contribution to society. This day is celebrated every year on October 1st.",https://www.un.org/en/observances/older-persons-day,External,Recreation,Honouring the elderly
Make a power of attorney,Learn about appointing someone you trust to make important financial and health care decisions on your behalf. ,https://www.ontario.ca/page/make-power-attorney,Internal,Safety and security,Legal needs and services
Law Society of Ontario,Connect to a lawyer or licensed paralegal to help you determine your rights and options. ,https://lso.ca/public-resources/finding-a-lawyer-or-paralegal/law-society-referral-service?lang=en-ca,External,Safety and security,Legal needs and services
Legal Aid Ontario,"If you qualify financially and have a legal issue, get help paying for a lawyer to represent you. ",https://www.legalaid.on.ca/,External,Safety and security,Legal needs and services
ACE: Advocacy Centre for the Elderly  ,"If you’re 60 years and older, get help with legal services in the Greater Toronto Area, and outside of Toronto if the case is of significance to the seniors' community. ",https://www.acelaw.ca/,External,Safety and security,Legal needs and services
"CLEO: Community Legal Education 
Ontario  ","Find information to understand and exercise your legal rights, including family law, housing law, employment law, immigration law and more. ",https://www.cleo.on.ca/en,External,Safety and security,Legal needs and services
ARCH Disability Law Centre ,Get legal advice about disability rights law. ,https://archdisabilitylaw.ca/services/,External,Safety and security,Legal needs and services
HALCO: HIV & AIDS Legal Clinic Ontario ,"Find a variety of services through this non-profit organization, including free legal assistance if you are living with or affected by HIV/AIDS.  ",https://www.halco.org/,External,Safety and security,Legal needs and services
The Human Rights Code,"Learn how the Code was established to prohibit discrimination based on age in the areas of  employment, services, goods, facilities, housing accommodations and more. ",https://www.ohrc.on.ca/en/ontario-human-rights-code,External,Safety and security,Legal needs and services
Office of the Public Guardian and Trustee,"Learn how the Office of the Public Guardian and Trustee safeguards the legal, personal and financial interests of specific Ontarians and their estates. ",https://www.ontario.ca/page/office-public-guardian-and-trustee,Internal,Safety and security,Legal needs and services
Future Care,"Make choices while you are competent about how you wish to be cared for in the future (if you become incapable):  

  - read [what every older Canadian should know about planning for possible loss of independence](https://www.canada.ca/en/employment-social-development/corporate/seniors/forum/independence-loss-planning.html)  
  - find helpful tools, at [Advance Care Planning Ontario,](https://www.advancecareplanningontario.ca/)  and learn about the process of advance care planning 
  - contact a [local Alzheimer’s Society chapter](https://alzheimer.ca/en/help-support/find-your-areas-alzheimer-society) to see if they offer advance care planning seminars in your community 
  - print and fill-out [your substitute decision-maker wallet card](https://files.ontario.ca/advancedcare.walletcard.pdf) with important information in the event of an emergency ",,,Safety and security,Advance care planning
Organ and tissue donation,Register your consent for organ and tissue donation to help those waiting for a lifesaving organ transplant. ,https://beadonor.ca/,External,Safety and security,Advance care planning
Consumer Protection Ontario,"Before, during or after you make a purchase, learn your rights and find the information you need to know to protect yourself, including: 

  - [identifying a scam or fraud](https://www.ontario.ca/page/identify-scam-or-fraud)
  - [door-to-door sales and home service contracts](https://www.ontario.ca/page/door-door-sales-and-home-service-contracts)
  - [planning funerals and arrangement](https://www.ontario.ca/page/consumer-protection-when-planning-funeral-burial-cremation-or-scattering)",https://www.ontario.ca/page/consumer-protection-ontario,Internal,Safety and security,"Scams, fraud and consumer issues "
Canadian Anti-Fraud Centre,Find information on the impact of past and current scams affecting Canadians and report on fraud and cybercrimes. ,https://antifraudcentre-centreantifraude.ca/,External,Safety and security,"Scams, fraud and consumer issues "
Ontario Securities Commission,Protect yourself from fraud. Search for an individual or company to find out if they are registered before you invest. ,https://www.osc.ca/en/investors/check-before-you-invest,External,Safety and security,"Scams, fraud and consumer issues "
GetSmarterAboutMoney.ca  ,Get unbiased and independent financial tools to help you make better financial decisions. ,https://www.getsmarteraboutmoney.ca/,External,Safety and security,"scams, fraud and consumer issues "
Seniors Safety Line,"Talk to a counsellor for free and confidential emotional support if you are a senior experiencing abuse or neglect. Available in 
more than 200 languages. Toll-free: 1-866-299-1011. ",https://www.awhl.org/seniors,External,Safety and security,Elder abuse
Information about elder abuse,Learn more about the signs and types of elder abuse and what to do if you or someone you know is being abused. ,https://www.ontario.ca/page/information-about-elder-abuse,Internal,Safety and security,Elder abuse
Elder Abuse Prevention Ontario,Get support if you’ve been affected by abuse. Find information and webinars about elder abuse.,https://eapon.ca/,External,Safety and security,Elder abuse
Ontario Action Against Violence Against Women,"Learn how this Francophone feminist organization works to prevent violence against women, provides ongoing training for workers, develops French-language services and produces education and awareness materials in French. ",https://actionontarienne.ca//english/,External,Safety and security,Elder abuse
9-1-1,"In any emergency, call 9-1-1. Connect to police, fire and ambulance assistance.",,External,Safety and security,Prepare for emergencies
Get Prepared,"Learn how about the risks in your area, how create a household emergency plan and build an emergency kit. ",https://www.getprepared.gc.ca/index-en.aspx,External,Safety and security,Prepare for emergencies
Alert Ready: Emergency Alert System ,Check if your phone is compatible with receiving critical and potentially life-saving alerts. ,https://www.alertready.ca/,Internal,Safety and security,Prepare for emergencies
Emergency Management Ontario,"Learn how Ontario prepares for, and responds to, emergencies. Access resources to support emergency management and preparedness. ",https://www.ontario.ca/page/emergency-management,Internal,Safety and security,Prepare for emergencies
Public Safety Canada,"Learn how the Government of Canada works with other levels of government, first responders, community groups, the 
private sector and other nations on national security, border strategies, countering crime and emergency management issues and other Safety and security initiatives. ",https://www.publicsafety.gc.ca/index-en.aspx,External,Safety and security,Prepare for emergencies
BASSIC: Safe Seniors Calendar ,"Download the annual Safe Seniors Calendar. It gives you tips and suggestions to help you stay safe and active in your home 
and community. ",https://www.bassic.ca/,External,Safety and security,Prepare for emergencies
Fire prevention and protection ,"Learn how to protect your home, loved ones and property from the impacts of fire and find safety services in your community. ",https://www.ontario.ca/page/fire-prevention-and-protection,Internal,Safety and security,Prepare for emergencies
